,company,date,title,content
0,By Investing.com,"<span>Aug 09, 2013 02:45AM ET</span>",French Industrial Production falls unexpectedly,
1,By Investing.com,"<span>Aug 09, 2013 01:35AM ET</span>",Chinese fixed asset investment remains unchanged unexpectedly,
2,By Investing.com,"<span>Aug 09, 2013 01:35AM ET</span>",Chinese industrial production rises more-than-expected,
3,By Investing.com,"<span>Aug 09, 2013 01:35AM ET</span>",Chinese retail sales falls unexpectedly,
4,By Investing.com,"<span>Aug 09, 2013 01:05AM ET</span>",Japanese Household Confidence rises less-than-expected,
5,By Investing.com,"<span>Aug 08, 2013 09:35PM ET</span>",Chinese PPI rises less-than-expected,
6,By Investing.com,"<span>Aug 08, 2013 09:35PM ET</span>",Chinese CPI remains unchanged unexpectedly,
7,By Investing.com,"<span>Aug 08, 2013 08:00PM ET</span>",Japan’s tertiary index falls more-than-expected,
8,By Investing.com,"<span>Aug 08, 2013 07:55PM ET</span>",Japan’s M2 Money Stock falls unexpectedly,
9,By Investing.com,"<span>Aug 08, 2013 10:35AM ET</span>",U.S. Natural Gas Storage rises more-than-expected,
10,By Investing.com,"<span>Aug 08, 2013 09:05AM ET</span>",Mexican CPI falls more-than-expected,
11,By Investing.com,"<span>Aug 08, 2013 08:35AM ET</span>",Canadian new housing prices index rises 0.2% in June,
12,By Investing.com,"<span>Aug 08, 2013 08:33AM ET</span>","U.S. initial jobless claims rise by 5,000 to 333,000 last week",
13,By Investing.com,"<span>Aug 08, 2013 08:00AM ET</span>",Chilean CPI rises,
14,By Investing.com,"<span>Aug 08, 2013 03:30AM ET</span>",Dutch CPI rises unexpectedly,
15,By Investing.com,"<span>Aug 08, 2013 03:05AM ET</span>",Czech Unemployment Rate rises more-than-expected,
16,By Investing.com,"<span>Aug 08, 2013 03:00AM ET</span>",Spanish Industrial Production falls unexpectedly,
17,By Investing.com,"<span>Aug 08, 2013 02:32AM ET</span>",Bank of Japan keeps monetary easing policy unchanged ,
18,By Investing.com,"<span>Aug 08, 2013 02:00AM ET</span>",Germany’s Trade Balance rises more-than-expected,
19,By Investing.com,"<span>Aug 08, 2013 01:45AM ET</span>",Switzerland’s unemployment rate remains unchanged,
20,By Investing.com,"<span>Aug 08, 2013 01:05AM ET</span>",Japan’s Economy Watchers Current Index falls unexpectedly,
21,By Investing.com,"<span>Aug 07, 2013 10:00PM ET</span>",Chinese trade balance falls unexpectedly,
22,By Investing.com,"<span>Aug 07, 2013 09:35PM ET</span>",Australian unemployment rate remains unchanged unexpectedly,
23,By Investing.com,"<span>Aug 07, 2013 09:35PM ET</span>",Australian employment change falls unexpectedly,
24,By Investing.com,"<span>Aug 07, 2013 07:55PM ET</span>",Japan’s Bank Lending rises unexpectedly,
25,By Investing.com,"<span>Aug 07, 2013 07:55PM ET</span>",Japan’s Current Account rises less-than-expected,
26,By Investing.com,"<span>Aug 07, 2013 03:00PM ET</span>",U.S. Consumer Credit rises less-than-expected,
27,By Investing.com,"<span>Aug 07, 2013 10:30AM ET</span>",U.S. Crude Oil Inventories fall more-than-expected,
28,By Investing.com,"<span>Aug 07, 2013 10:30AM ET</span>",U.S. Gasoline Inventories rises unexpectedly,
29,By Investing.com,"<span>Aug 07, 2013 10:01AM ET</span>",Canadian Ivey PMI tumbles to 48.4 in July,
30,By Investing.com,"<span>Aug 07, 2013 08:35AM ET</span>",Chilean trade balance falls more-than-expected,
31,By Investing.com,"<span>Aug 07, 2013 08:32AM ET</span>",Canadian building permits plunge 10.3% in June ,
